Date,Close,Open,High,Low,Volume
01/31/2019," 9,748.70 "," 10,206.20 "," 10,259.00 "," 9,713.50 ", 19.63000 
02/01/2019," 10,839.70 "," 10,874.90 "," 11,068.40 "," 10,839.70 ", 11.49000 
02/04/2019," 11,297.20 "," 11,332.40 "," 11,350.00 "," 11,244.40 ", 4.92000 
02/05/2019," 11,965.90 "," 11,860.30 "," 11,965.90 "," 11,719.50 ", 10.42000 
02/07/2019," 10,339.90 "," 10,522.90 "," 10,522.90 "," 10,317.00 ", 10.06000 
02/08/2019," 10,271.30 "," 10,156.90 "," 10,317.00 "," 10,111.20 ", 15.04000 
02/10/2019," 9,951.00 "," 10,065.40 "," 10,088.30 "," 9,928.10 ", 9.19000 
02/12/2019," 10,500.00 "," 10,454.30 "," 10,614.40 "," 10,454.30 ", 19.16000 
02/13/2019," 10,874.90 "," 10,382.20 "," 10,945.30 "," 10,382.20 ", 30.33000 
02/14/2019," 10,910.10 "," 10,874.90 "," 11,015.60 "," 10,839.70 ", 17.67000 
02/15/2019," 11,121.20 "," 10,910.10 "," 11,438.00 "," 10,839.70 ", 25.53000 
02/18/2019," 11,314.80 "," 11,297.20 "," 11,455.60 "," 11,244.40 ", 17.45000 
02/19/2019," 11,156.40 "," 11,420.40 "," 11,438.00 "," 11,138.80 ", 16.17000 
02/20/2019," 11,332.40 "," 11,156.40 "," 11,367.60 "," 11,138.80 ", 16.09000 
02/21/2019," 11,508.40 "," 11,367.60 "," 11,508.40 "," 11,226.80 ", 16.45000 
02/22/2019," 11,930.70 "," 11,490.80 "," 11,948.30 "," 11,455.60 ", 22.64000 
02/25/2019," 12,247.40 "," 12,124.20 "," 12,511.40 "," 12,036.30 ", 32.26000 
02/26/2019," 12,141.80 "," 12,247.40 "," 12,458.60 "," 12,053.90 ", 20.21000 
02/27/2019," 12,106.60 "," 12,300.20 "," 12,300.20 "," 12,018.70 ", 13.69000 
02/28/2019," 11,825.10 "," 12,159.40 "," 12,177.00 "," 11,825.10 ", 19.04000 
